date_of_birth,phone,address,credit_card,email,name
19880614,(+57) 320 432 05 09,92 Willow Dr.,6011448636021334,wombbus@hotmail.com,wombbus
19861207,(+57) 320 432 05 10,"Cranston, RI 02920",6011002884825420884,massivewomens@hotmail.com,massivewomens
19630825,(+57) 320 432 05 11,60 College Drive,5106455636433375,shockingspeaker@hotmail.com,shockingspeaker
19880415,(+57) 320 432 05 12,"Grand Forks, ND 58201",6555607744284804769,coamingtame@hotmail.com,coamingtame
19620426,(+57) 320 432 05 13,14 Cedarwood Rd.,2224062821788730,actresswell@hotmail.com,actresswell
19841218,(+57) 320 432 05 14,"La Crosse, WI 54601",4006400634465668,fatsosummer@hotmail.com,fatsosummer
19690327,(+57) 320 432 05 15,749 Glen Eagles Ave.,2286233480387313,enthralledprotect@hotmail.com,enthralledprotect
20000331,(+57) 320 432 05,"Oviedo, FL 32765",4628376457143,hushedprudence@hotmail.com,hushedprudence
19891221,(+57) 320 432 05 17,486 Newport St.,2225336615128371,crepeacademic@hotmail.com,crepeacademic
19710312,(+57) 320 432 05 18,"Southfield, MI 48076",4733440370767,panelcroutons@hotmail.com,panelcroutons
19690716,(+57) 320 432 05 19,810 E. Gonzales Dr.,6472806862352578,arrogantpad@hotmail.com,arrogantpad
19700911,(+57) 320 432 05 20,"Brockton, MA 02301",3572668447530688044,harrowshipwreck@hotmail.com,harrowshipwreck
19970408,(+57) 320 432 05 21,30 West Valley View Ave.,341778140727263,odenincrease@hotmail.com,odenincrease
19970319,(+57) 320 432 05 22,"Lynn, MA 01902",373128061146369,goringhurry@hotmail.com,goringhurry
19970106,(+57) 320 432 05 23,8446 Wagon Ave.,2720236215600870,berserkwhatever@hotmail.com,berserkwhatever
19841129,(+57) 320 432 05 24,"Glen Burnie, MD 21060",4485653664754,splatterspiritual@hotmail.com,splatterspiritual
19921122,(+57) 320 432 05 25,6 Hartford St.,3027732377371050,speedytry@hotmail.com,speedytry
19870718,(+57) 320 432 05 26,"Mesa, AZ 85203",5237824578608686,coveragecapacity@hotmail.com,coveragecapacity
19860320,(+57) 320 432 05 27,756 W. Bridle Ave.,2224442336553581,moreoveryellowish@hotmail.com,moreoveryellowish
19790512,(+57) 320 432 05 28,"Palm Bay, FL 32907",3033885202133632,executiveresentful@hotmail.com,executiveresentful
19880510,(+57) 320 432 05 29,407 Lantern St.,6493060744250086338,shadespumped@hotmail.com,shadespumped
19910204,(+57) 320 432 05 30,"Mechanicsville, VA 23111",213182536501116,pishmenacing@hotmail.com,pishmenacing
19630815,(+57) 320 432 05 31,8095 County Drive,30076861134801,persuadebird@hotmail.com,persuadebird
19670904,(+57) 320 432 05 32,"Abingdon, MD 21009",6554446202437457,tonightaltruistic@hotmail.com,tonightaltruistic
19780123,(+57) 320 432 05 33,56 SE. Aspen Street,376531114350333,marchself@hotmail.com,marchself
19660427,(+57) 320 432 05 34,"Graham, NC 27253",180054758485741,unequalmow@hotmail.com,unequalmow
19680102,(+57) 320 432 05 35,623 Nichols Road,340028668825144,butterflygrotesque@hotmail.com,butterflygrotesque
19661011,(+57) 320 432 05 36,"Chillicothe, OH 45601",3844014674236067,flagstaffaltruistic@hotmail.com,flagstaffaltruistic
19891108,(+57) 320 432 05 37,419 Woodsman Ave.,358836413214508,mainsailbutcher@hotmail.com,mainsailbutcher
19750407,(+57) 320 432 05 38,Apt 145,346257478843450,dismissvein@hotmail.com,dismissvein
19760315,(+57) 320 432 05 39,"Fort Walton Beach, FL 32547",30016817238165,architectpoultry@hotmail.com,architectpoultry
19980111,(+57) 320 432 05 40,571 Elm Drive,4665636220433386,motorwaylawyer@hotmail.com,motorwaylawyer
19820929,(+57) 320 432 05 41,"Sun Prairie, WI 53590",6011437103550130211,translatorimpressive@hotmail.com,translatorimpressive
19981230,(+57) 320 432 05 42,32 Lawrence Court,6011793233114184,audiabusive@hotmail.com,audiabusive
19790930,(+57) 320 432 05 43,"Fitchburg, MA 01420",6011952061152324464,nucleusacidic@hotmail.com,nucleusacidic
19861213,(+57) 320 432 05 44,83 Thomas Circle,2254277557707562,fraidunderwear@hotmail.com,fraidunderwear
19760818,(+57) 320 432 05 45,"Portage, IN 46368",3572667736188372781,squawkeducator@hotmail.com,squawkeducator
19850808,(+57) 320 432 05 46,6 Buckingham St.,6011416518611837,elandintroduce@hotmail.com,elandintroduce
19820307,(+57) 320 432 05 47,"Owensboro, KY 42301",213112437676501,lardassgaze@hotmail.com,lardassgaze
19670527,(+57) 320 432 05 48,2 Mayflower Court,3572663428415823430,linesportly@hotmail.com,linesportly
19961227,(+57) 320 432 05 49,"Lakewood, NJ 08701",38230748038683,cabindeliver@hotmail.com,cabindeliver
19800911,(+57) 320 432 05 50,269 Airport Dr.,6011795753845173552,flutteringlimes@hotmail.com,flutteringlimes
